20
32.70,59.39,89.99,13.23,49.55,31.77,13.21,43.51,12.00,68.75,66.01,10.17,49.31,76.84,98.67,32.76,14.91,78.67,34.55,38.32
72.41,35.02,18.43,52.12,66.02,28.61,92.74,13.97,45.92,91.36,16.22,28.86,77.72,98.35,92.02,48.56,59.63,46.02,82.82,14.61
61.60,25.03,96.29,82.38,68.34,98.10,52.08,18.13,50.55,75.26,46.71,25.90,10.06,56.56,79.92,18.45,65.97,96.26,47.38,39.84
39.68,65.40,48.85,30.83,97.81,50.46,81.76,41.65,39.25,66.76,84.17,67.15,39.69,89.84,75.93,24.75,83.54,25.99,46.15,11.13
24.14,54.87,59.16,44.14,23.35,53.31,61.81,41.40,49.46,86.96,73.21,44.54,12.15,51.70,28.74,68.22,59.57,93.52,50.29,52.62
20.26,11.03,53.94,89.70,98.90,37.83,21.68,57.82,38.93,79.41,90.16,25.19,81.42,11.60,20.24,31.45,41.38,64.36,64.86,91.49
57.90,27.34,58.77,30.22,57.61,42.22,19.95,76.34,22.86,42.63,85.83,64.86,56.81,80.10,47.84,84.47,42.37,38.20,47.10,51.36
90.80,70.71,65.00,66.38,79.57,64.27,72.93,52.33,79.37,90.18,42.74,67.03,19.95,60.39,95.88,55.16,92.46,12.15,34.96,97.13
20.96,73.79,31.34,77.24,67.93,11.44,75.29,21.34,27.22,21.54,41.07,34.72,72.60,68.83,33.64,14.64,58.71,31.61,29.54,17.81
95.57,65.03,68.43,92.25,71.91,63.66,49.06,83.81,54.53,56.76,32.43,15.05,79.19,73.69,59.27,58.19,12.37,54.32,30.72,65.48
37.72,31.39,25.63,43.24,91.09,51.06,56.52,95.70,47.25,13.03,74.75,82.86,31.55,91.42,45.50,48.61,86.01,56.46,90.19,54.01
50.72,64.13,41.35,80.73,87.42,76.43,69.57,51.32,37.51,84.82,26.51,90.92,84.23,88.80,21.58,21.84,15.17,35.76,24.13,38.31
24.86,94.16,22.83,56.12,48.05,21.22,80.73,55.94,47.42,10.49,15.83,38.42,77.31,42.33,19.44,65.53,43.78,95.69,19.08,44.18
49.49,88.07,77.20,24.19,93.42,64.90,61.67,74.50,25.53,68.76,10.24,57.82,17.95,32.48,75.46,58.06,87.84,54.86,64.12,53.85
49.22,28.32,80.77,98.72,98.96,15.17,22.59,79.89,23.72,93.79,16.92,86.25,48.45,97.57,42.44,71.88,63.45,52.53,20.12,37.36
41.96,85.31,31.07,23.16,94.72,44.37,89.73,41.16,43.06,52.53,49.95,79.42,89.06,13.16,24.87,95.02,84.32,88.65,95.49,51.14
59.21,17.12,62.28,35.89,78.22,69.51,77.53,28.00,87.15,77.67,48.78,98.31,87.44,21.79,40.75,72.91,60.42,62.04,80.43,83.56
31.28,98.81,53.40,51.88,45.05,65.26,77.22,89.09,55.54,55.44,58.48,97.60,84.34,29.41,37.68,98.80,28.20,40.30,37.54,35.38
39.18,97.45,53.75,79.06,25.01,93.50,62.74,62.27,66.42,92.85,72.15,97.18,54.28,54.70,48.11,78.69,51.41,57.57,82.44,75.18
12.73,18.33,96.83,28.59,84.71,72.34,31.11,20.39,95.58,35.64,18.53,87.15,40.09,18.60,62.99,11.96,50.54,34.63,51.40,67.85
