10
79.18,26.50,80.48,21.35,27.84,29.65,79.58,42.52,63.53,12.73
92.96,36.69,64.21,98.88,42.29,89.64,30.76,74.34,25.98,26.25
13.62,54.70,83.03,31.86,73.39,55.54,11.16,52.30,45.91,66.74
66.98,32.41,30.21,25.33,82.05,43.54,89.20,19.87,53.46,43.82
89.78,45.38,90.36,92.43,15.64,44.73,68.83,12.40,58.66,67.13
68.02,21.81,86.27,74.03,97.37,25.53,98.83,98.97,88.30,85.79
26.29,64.94,30.81,92.23,41.02,90.23,34.99,40.87,34.11,48.03
52.86,96.22,75.52,84.67,91.11,34.38,71.68,96.29,91.87,51.46
89.49,45.16,20.06,71.15,57.34,44.23,16.64,40.14,85.19,94.90
63.55,40.24,79.08,17.08,11.03,20.21,72.94,97.08,92.65,41.2
